,store,address,phone,sido-gu
0,가경동점,충청북도 청주시흥덕구 풍산로 103(복대동),043-233-4091,"['충청북도', '청주시흥덕구']"
1,가남점,경기도 여주시 가남면 태평중앙1길 8-6,031-883-5746,"['경기도', '여주시']"
2,가래비점,경기도 양주시 광적면 가래비길 24,031-855-6126,"['경기도', '양주시']"
3,가마점,"충청북도 청주시서원구 남이면 청남로 1827-25, 1층",043-287-2003,"['충청북도', '청주시서원구']"
4,가수원점,대전광역시 서구 가수원동 774-18,042-541-1350,"['대전광역시', '서구']"
5,가오점,대전광역시 동구 가오동 533,042-284-0391,"['대전광역시', '동구']"
6,가운점,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,031-557-9222,"['경기도', '남양주시']"
7,가장점,대전광역시 서구 가장동 40-40,042-532-1140,"['대전광역시', '서구']"
8,가정지구1점,인천광역시 서구 봉오재2로 37 104호,032-567-5885,"['인천광역시', '서구']"
9,가좌3점,인천광역시 서구 가석로156번길 23-1,032-575-8999,"['인천광역시', '서구']"
